pressure,MaterialIDs,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-21500,0,1,0,0,0,0
-21499.96024,0,1,0.02,0.02,0,0
-21499.92049,0,1,0.039999999,0.039999999,0,0
-21499.88073,0,1,0.059999999,0.059999999,0,0
-21499.84097,0,1,0.079999998,0.079999998,0,0
-21499.80122,0,1,0.100000002,0.100000002,0,0
-21499.76146,0,1,0.119999997,0.119999997,0,0
-21499.72171,0,1,0.140000001,0.140000001,0,0
-21499.68195,0,1,0.159999996,0.159999996,0,0
-21499.64219,0,1,0.180000007,0.180000007,0,0
-21499.60244,0,1,0.200000003,0.200000003,0,0
-21499.80245,0,1,0.219999999,0.219999999,0,0
-21500.00246,0,1,0.239999995,0.239999995,0,0
-21500.20248,0,1,0.259999991,0.259999991,0,0
-21500.40249,0,1,0.280000001,0.280000001,0,0
-21500.6025,0,1,0.300000012,0.300000012,0,0
-21500.80252,0,1,0.319999993,0.319999993,0,0
-21501.00253,0,1,0.340000004,0.340000004,0,0
-21501.20254,0,1,0.360000014,0.360000014,0,0
-21501.40256,0,1,0.379999995,0.379999995,0,0
-21501.60257,0,1,0.400000006,0.400000006,0,0
-21500.8376,0,1,0.419999987,0.419999987,0,0
-21500.07262,0,1,0.439999998,0.439999998,0,0
-21499.30764,0,1,0.460000008,0.460000008,0,0
-21498.54267,0,1,0.479999989,0.479999989,0,0
-21497.77769,0,1,0.5,0.5,0,0
-21497.01272,0,1,0.519999981,0.519999981,0,0
-21496.24774,0,1,0.540000022,0.540000022,0,0
-21495.48277,0,1,0.560000002,0.560000002,0,0
-21494.71779,0,1,0.579999983,0.579999983,0,0
-21493.95282,0,1,0.600000024,0.600000024,0,0
-21496.82364,0,1,0.620000005,0.620000005,0,0
-21499.69445,0,1,0.639999986,0.639999986,0,0
-21502.56528,0,1,0.660000026,0.660000026,0,0
-21505.43609,0,1,0.680000007,0.680000007,0,0
-21508.30691,0,1,0.699999988,0.699999988,0,0
-21511.17773,0,1,0.720000029,0.720000029,0,0
-21514.04854,0,1,0.74000001,0.74000001,0,0
-21516.91936,0,1,0.759999991,0.759999991,0,0
-21519.79017,0,1,0.779999971,0.779999971,0,0
-21522.66099,0,1,0.800000012,0.800000012,0,0
-21511.94245,0,1,0.819999993,0.819999993,0,0
-21501.22392,0,1,0.839999974,0.839999974,0,0
-21490.50535,0,1,0.860000014,0.860000014,0,0
-21479.78681,0,1,0.879999995,0.879999995,0,0
-21469.06827,0,1,0.899999976,0.899999976,0,0
-21458.3497,0,1,0.920000017,0.920000017,0,0
-21447.63117,0,1,0.939999998,0.939999998,0,0
-21436.91263,0,1,0.959999979,0.959999979,0,0
-21426.19406,0,1,0.980000019,0.980000019,0,0
-21415.47552,0,1,1,1,0,0
-21455.48261,0,1,1.019999981,1.019999981,0,0
-21495.48969,0,1,1.039999962,1.039999962,0,0
-21535.49677,0,1,1.059999943,1.059999943,0,0
-21575.5041,0,1,1.080000043,1.080000043,0,0
-21615.51118,0,1,1.100000024,1.100000024,0,0
-21655.51826,0,1,1.120000005,1.120000005,0,0
-21695.52534,0,1,1.139999986,1.139999986,0,0
-21735.53243,0,1,1.159999967,1.159999967,0,0
-21775.53951,0,1,1.179999948,1.179999948,0,0
-21815.54639,0,1,1.200000048,1.200000048,0,0
-21668.51403,0,1,1.220000029,1.220000029,0,0
-21521.48167,0,1,1.24000001,1.24000001,0,0
-21374.44931,0,1,1.25999999,1.25999999,0,0
-21227.41695,0,1,1.279999971,1.279999971,0,0
-21080.38459,0,1,1.299999952,1.299999952,0,0
-20933.35136,0,1,1.320000052,1.320000052,0,0
-20786.319,0,1,1.340000033,1.340000033,0,0
-20639.28664,0,1,1.360000014,1.360000014,0,0
-20492.25428,0,1,1.379999995,1.379999995,0,0
-20345.22192,0,1,1.399999976,1.399999976,0,0
-20907.62598,0,1,1.419999957,1.419999957,0,0
-21470.03424,0,1,1.440000057,1.440000057,0,0
-22032.43915,0,1,1.460000038,1.460000038,0,0
-22594.84406,0,1,1.480000019,1.480000019,0,0
-23157.24897,0,1,1.5,1.5,0,0
-23719.65387,0,1,1.519999981,1.519999981,0,0
-24282.05878,0,1,1.539999962,1.539999962,0,0
-24844.46369,0,1,1.559999943,1.559999943,0,0
-25406.87195,0,1,1.580000043,1.580000043,0,0
-25969.27405,0,1,1.600000024,1.600000024,0,0
-24180.3521,0,1,1.620000005,1.620000005,0,0
-22391.43014,0,1,1.639999986,1.639999986,0,0
-20602.50818,0,1,1.659999967,1.659999967,0,0
-18813.58622,0,1,1.679999948,1.679999948,0,0
-17024.6536,0,1,1.700000048,1.700000048,0,0
-15235.73164,0,1,1.720000029,1.720000029,0,0
-13446.80968,0,1,1.74000001,1.74000001,0,0
-11657.88773,0,1,1.75999999,1.75999999,0,0
-9868.965768,0,1,1.779999971,1.779999971,0,0
-8080.04381,0,1,1.799999952,1.799999952,0,0
-7272.033471,0,1,1.820000052,1.820000052,0,0
-6464.030287,0,1,1.840000033,1.840000033,0,0
-5656.027104,0,1,1.860000014,1.860000014,0,0
-4848.02392,0,1,1.879999995,1.879999995,0,0
-4040.020736,0,1,1.899999976,1.899999976,0,0
-3232.017552,0,1,1.919999957,1.919999957,0,0
-2424.009552,0,1,1.940000057,1.940000057,0,0
-1616.006368,0,1,1.960000038,1.960000038,0,0
-808.0031839,0,1,1.980000019,1.980000019,0,0
0,0,1,2,2,0,0
